assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,37605,None,,0,0,-3,3,0.0,642,258,None,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,642,258,1,False,0.0,642,258,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,0,0,None,0,,37605.jpg,0.0,0,0,Özil,0.5,False,None,u,1,3,0.0,642,258,0,3441,0,53692,21,0.0,0.0,Özil,0
0,0,0,0,0,0,39476,None,,0,0,-2,2,0.0,590,219,None,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,603,219,2,False,0.0,600,219,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,0,0,None,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,None,u,1,3,0.0,583,215,0,10266,0,18955,3,0.0,0.0,Sokratis,0
0,0,117,100,100,2,41270,None,,0,0,-1,1,29.8,310,101,4,,0,2,2.6,3.1,2,David,2.6,10,0,20.7,300,99,3,False,121.0,254,98,749,,2020-12-26T18:00:15.638627Z,54,0,0,None,0,,41270.jpg,2.0,0,0,Luiz Moreira Marinho,0.8,False,None,a,1,3,56.0,253,77,22,43770,117,93194,146,0.5,4.1,David Luiz,1
1,6,202,0,0,7,54694,None,,0,0,-7,7,226.3,73,52,None,,1,3,0.0,0.0,0,Pierre-Emerick,4.8,16,5,101.8,34,22,4,False,272.2,120,43,1514,Personal Reasons - Unknown return date,2021-01-23T16:00:22.555453Z,113,1,0,1,0,,54694.jpg,4.2,0,0,Aubameyang,6.8,False,None,i,1,3,519.0,22,13,71,559952,89,3231975,7193,0.4,6.3,Aubameyang,2
1,3,53,100,100,1,58822,None,,0,0,-4,4,54.9,246,61,None,,0,2,2.8,3.3,2,Cédric,2.8,1,0,10.9,356,130,5,False,44.8,353,136,185,,2020-09-23T09:00:14.881983Z,46,0,0,None,0,,58822.jpg,5.0,0,0,Soares,0.2,False,None,a,1,3,9.0,372,139,15,7137,365,36049,89,0.6,3.3,Cédric,0
1,11,263,None,None,5,59966,None,,0,0,-2,2,203.7,85,7,None,,2,4,6.8,7.3,11,Alexandre,6.8,9,8,113.6,25,8,6,False,380.6,46,8,1121,,None,83,0,0,3,0,,59966.jpg,4.3,0,0,Lacazette,6.4,False,None,a,1,3,554.0,21,9,73,848176,15011,704464,4178,0.8,8.8,Lacazette,2
0,0,16,100,100,0,69140,None,,0,0,0,0,1.0,422,166,None,,0,2,0.0,0.5,0,Shkodran,0.0,1,0,1.3,446,169,7,False,11.6,424,166,45,,2020-08-15T10:00:11.331812Z,50,0,0,None,0,,69140.jpg,1.0,0,0,Mustafi,0.1,False,None,a,1,3,0.0,608,223,3,13302,16,13262,31,0.0,0.6,Mustafi,0
0,6,382,None,None,7,80201,None,,0,0,0,0,0.0,614,65,None,,2,1,5.6,6.1,3,Bernd,5.6,20,0,41.1,197,12,8,False,411.0,29,12,1800,,None,50,0,0,None,1,,80201.jpg,4.1,0,48,Leno,9.1,False,None,a,1,3,0.0,610,63,82,755055,2429,710854,3845,1.1,16.4,Leno,0
1,1,206,100,100,6,84450,None,,0,0,-3,3,103.2,180,112,1,,0,3,3.4,3.9,5,Granit,3.4,13,1,41.7,194,95,9,False,228.6,152,58,1264,,2020-12-13T22:30:16.182130Z,52,0,0,None,0,,84450.jpg,2.4,1,0,Xhaka,0.4,False,None,a,1,3,85.0,202,107,39,33464,158,69354,199,0.7,7.5,Xhaka,2
0,1,63,0,0,2,92371,None,,0,0,-1,1,11.7,365,136,None,,0,2,0.0,0.0,0,Pablo,2.6,1,0,7.4,374,139,10,False,59.0,343,134,270,Calf injury - Expected back 30 Jan,2021-01-14T22:00:26.195009Z,44,0,0,None,0,,92371.jpg,4.7,0,0,Marí,0.1,False,None,i,1,3,4.0,391,150,14,31166,14,21754,686,0.6,3.2,Marí,1
